"DATE","T10Y3M"
"2015-03-01",2.015
"2015-04-01",1.91181818181818
"2015-05-01",2.181
"2015-06-01",2.34863636363636
"2015-07-01",2.29227272727273
"2015-08-01",2.0952380952381
"2015-09-01",2.14857142857143
"2015-10-01",2.05333333333333
"2015-11-01",2.13684210526316
"2015-12-01",2.01409090909091
"2016-01-01",1.82789473684211
"2016-02-01",1.465
"2016-03-01",1.59181818181818
"2016-04-01",1.57714285714286
"2016-05-01",1.52952380952381
"2016-06-01",1.37136363636364
"2016-07-01",1.203
"2016-08-01",1.25695652173913
"2016-09-01",1.33619047619048
"2016-10-01",1.433
"2016-11-01",1.6895
"2016-12-01",1.98
"2017-01-01",1.9135
"2017-02-01",1.89263157894737
"2017-03-01",1.73391304347826
"2017-04-01",1.48894736842105
"2017-05-01",1.40045454545455
"2017-06-01",1.18772727272727
"2017-07-01",1.2315
"2017-08-01",1.17695652173913
"2017-09-01",1.1555
"2017-10-01",1.26666666666667
"2017-11-01",1.10285714285714
"2017-12-01",1.061
"2018-01-01",1.15142857142857
"2018-02-01",1.27105263157895
"2018-03-01",1.11571428571429
"2018-04-01",1.08095238095238
"2018-05-01",1.07818181818182
"2018-06-01",0.977142857142857
"2018-07-01",0.894285714285714
"2018-08-01",0.816521739130435
"2018-09-01",0.838947368421053
"2018-10-01",0.859090909090909
"2018-11-01",0.743
"2018-12-01",0.420526315789474
"2019-01-01",0.29
"2019-02-01",0.238421052631579
"2019-03-01",0.117142857142857
"2019-04-01",0.0995238095238095
"2019-05-01",-0.00818181818181818
"2019-06-01",-0.1455
"2019-07-01",-0.0859090909090909
"2019-08-01",-0.364090909090909
"2019-09-01",-0.235
"2019-10-01",0.0281818181818182
"2019-11-01",0.24
"2019-12-01",0.297619047619048
"2020-01-01",0.205238095238095
"2020-02-01",-0.0405263157894737
"2020-03-01",0.574545454545455
"2020-04-01",0.519523809523809
"2020-05-01",0.5465
"2020-06-01",0.569090909090909
"2020-07-01",0.496818181818182
"2020-08-01",0.545714285714286
"2020-09-01",0.570952380952381
"2020-10-01",0.686666666666667
"2020-11-01",0.778947368421053
"2020-12-01",0.846363636363636
"2021-01-01",0.997368421052632
"2021-02-01",1.21526315789474
"2021-03-01",1.5795652173913
"2021-04-01",1.61409090909091
"2021-05-01",1.603
"2021-06-01",1.48318181818182
"2021-07-01",1.26619047619048
"2021-08-01",1.22863636363636
"2021-09-01",1.33285714285714
"2021-10-01",1.5305
"2021-11-01",1.508
"2021-12-01",1.40636363636364
"2022-01-01",1.6185
"2022-02-01",1.61947368421053
"2022-03-01",1.6804347826087
"2022-04-01",1.984
"2022-05-01",1.9052380952381
"2022-06-01",1.6047619047619
"2022-07-01",0.598
"2022-08-01",0.176086956521739
"2022-09-01",0.297142857142857
"2022-10-01",0.111
"2022-11-01",-0.432
"2022-12-01",-0.741904761904762
"2023-01-01",-1.156
"2023-02-01",-1.04105263157895
"2023-03-01",-1.19565217391304
"2023-04-01",-1.6135
"2023-05-01",-1.73454545454545
"2023-06-01",-1.66761904761905
"2023-07-01",-1.589
"2023-08-01",-1.39130434782609
"2023-09-01",-1.1765
"2023-10-01",-0.806666666666667
"2023-11-01",-1.02
"2023-12-01",-1.422
"2024-01-01",-1.39571428571429
"2024-02-01",-1.233
"2024-03-01",-1.26
